hero_id	level	name	class	rarity	hp	attack	defense	skill_id_1	skill_id_2	skill_id_3	unlock_require_id	power
1	1	Mira	Ranger	Rare	420	165	63	101	102	103	null	466
1	2	Mira	Ranger	Rare	550	189	68	101	102	103	null	535
1	3	Mira	Ranger	Rare	681	212	72	101	102	103	null	600
1	4	Mira	Ranger	Rare	812	236	76	101	102	103	null	667
1	5	Mira	Ranger	Rare	942	258	81	101	102	103	null	732
1	6	Mira	Ranger	Rare	1071	282	84	101	102	103	null	797
1	7	Mira	Ranger	Rare	1202	304	88	101	102	103	null	860
1	8	Mira	Ranger	Rare	1332	328	93	101	102	103	null	929
1	9	Mira	Ranger	Rare	1462	351	98	101	102	103	null	995
1	10	Mira	Ranger	Rare	1593	375	102	101	102	103	null	1062
1	11	Mira	Ranger	Rare	1724	398	106	101	102	103	null	1127
1	12	Mira	Ranger	Rare	1854	422	111	101	102	103	null	1196
1	13	Mira	Ranger	Rare	1984	444	116	101	102	103	null	1260
1	14	Mira	Ranger	Rare	2115	468	120	101	102	103	null	1328
1	15	Mira	Ranger	Rare	2246	490	124	101	102	103	null	1391
1	16	Mira	Ranger	Rare	2374	514	128	101	102	103	null	1457
1	17	Mira	Ranger	Rare	2505	537	132	101	102	103	null	1522
1	18	Mira	Ranger	Rare	2636	561	136	101	102	103	null	1590
1	19	Mira	Ranger	Rare	2766	584	141	101	102	103	null	1656
1	20	Mira	Ranger	Rare	2896	700	146	101	102	103	null	1909
1	21	Mira	Ranger	Rare	3027	630	150	101	102	103	null	1788
1	22	Mira	Ranger	Rare	3158	654	154	101	102	103	null	1855
1	23	Mira	Ranger	Rare	3288	676	159	101	102	103	null	1919
1	24	Mira	Ranger	Rare	3418	700	164	101	102	103	null	1988
1	25	Mira	Ranger	Rare	3549	723	168	101	102	103	null	2053
1	26	Mira	Ranger	Rare	3678	747	171	101	102	103	null	2118
1	27	Mira	Ranger	Rare	3808	770	176	101	102	103	null	2185
1	28	Mira	Ranger	Rare	3939	794	180	101	102	103	null	2252
1	29	Mira	Ranger	Rare	4070	816	184	101	102	103	null	2315
1	30	Mira	Ranger	Rare	4200	840	189	101	102	103	null	2384
2	1	Aldric	Warrior	Epic	800	160	120	201	202	203	5005	580
2	2	Aldric	Warrior	Epic	1048	182	128	201	202	203	5005	661
2	3	Aldric	Warrior	Epic	1296	204	136	201	202	203	5005	742
2	4	Aldric	Warrior	Epic	1544	226	144	201	202	203	5005	822
2	5	Aldric	Warrior	Epic	1794	248	154	201	202	203	5005	906
2	6	Aldric	Warrior	Epic	2042	270	162	201	202	203	5005	987
2	7	Aldric	Warrior	Epic	2290	292	170	201	202	203	5005	1068
2	8	Aldric	Warrior	Epic	2538	314	178	201	202	203	5005	1149
2	9	Aldric	Warrior	Epic	2786	336	186	201	202	203	5005	1230
2	10	Aldric	Warrior	Epic	3034	358	194	201	202	203	5005	1310
2	11	Aldric	Warrior	Epic	3282	380	202	201	202	203	5005	1391
